GO name,C0,C0 Rank,C1,C2,C3,C4,C5,C6,C0,C1,C2,C3,C4,C5,C6
aspartic-type endopeptidase activity,8,119,0,8,16,9,13,0,0.143035938,0,0.328947368,0.740397964,0.600801068,0.262096774,0
calcium ion binding,31,24,11,15,14,4,27,10,0.554264259,0.694006309,0.616776316,0.647848218,0.267022697,0.544354839,0.704225352
protein phosphorylation,56,15,17,31,14,7,28,9,1.001251564,1.072555205,1.274671053,0.647848218,0.46728972,0.564516129,0.633802817
peptidase activity,20,47,7,13,13,4,31,19,0.357589844,0.441640379,0.534539474,0.601573346,0.267022697,0.625,1.338028169
protein kinase activity,57,14,17,28,13,7,29,9,1.019131057,1.072555205,1.151315789,0.601573346,0.46728972,0.584677419,0.633802817
Golgi apparatus,21,43,7,4,12,7,23,7,0.375469337,0.441640379,0.164473684,0.555298473,0.46728972,0.463709677,0.492957746
nucleotidyltransferase activity,13,73,3,8,12,7,5,1,0.232433399,0.189274448,0.328947368,0.555298473,0.46728972,0.100806452,0.070422535
phosphorylation,39,19,8,14,11,2,14,6,0.697300197,0.504731861,0.575657895,0.5090236,0.133511348,0.282258065,0.422535211
kinase activity,39,20,8,14,11,2,14,6,0.697300197,0.504731861,0.575657895,0.5090236,0.133511348,0.282258065,0.422535211
DNA-binding transcription factor activity,23,40,2,9,11,1,5,6,0.411228321,0.126182965,0.370065789,0.5090236,0.066755674,0.100806452,0.422535211
plasma membrane,35,22,11,16,10,5,34,5,0.625782228,0.694006309,0.657894737,0.462748727,0.333778371,0.685483871,0.352112676
"DNA-binding transcription factor activity, RNA polymerase II-specific",17,53,2,8,10,3,3,3,0.303951368,0.126182965,0.328947368,0.462748727,0.200267023,0.060483871,0.211267606
mRNA processing,28,34,5,9,10,7,13,1,0.500625782,0.315457413,0.370065789,0.462748727,0.46728972,0.262096774,0.070422535
transmembrane transporter activity,14,61,1,9,9,6,30,13,0.250312891,0.063091483,0.370065789,0.416473855,0.400534045,0.60483871,0.915492958
mitochondrion,30,29,9,12,9,16,42,5,0.536384767,0.567823344,0.493421053,0.416473855,1.068090788,0.846774194,0.352112676
translation,23,41,4,10,9,14,82,3,0.411228321,0.252365931,0.411184211,0.416473855,0.934579439,1.653225806,0.211267606
"RNA phosphodiester bond hydrolysis, endonucleolytic",12,81,7,7,9,6,11,3,0.214553907,0.441640379,0.287828947,0.416473855,0.400534045,0.221774194,0.211267606
carbohydrate metabolic process,20,49,7,1,9,5,6,2,0.357589844,0.441640379,0.041118421,0.416473855,0.333778371,0.120967742,0.14084507
catalytic activity,39,18,11,6,8,15,29,9,0.697300197,0.694006309,0.246710526,0.370198982,1.001335113,0.584677419,0.633802817
glycosyltransferase activity,12,79,5,2,8,3,17,6,0.214553907,0.315457413,0.082236842,0.370198982,0.200267023,0.342741935,0.422535211
ATP hydrolysis activity,13,69,3,13,8,4,21,3,0.232433399,0.189274448,0.534539474,0.370198982,0.267022697,0.423387097,0.211267606
protein glycosylation,6,146,3,1,8,4,18,3,0.107276953,0.189274448,0.041118421,0.370198982,0.267022697,0.362903226,0.211267606
cellular anatomical entity,24,38,4,7,7,5,21,9,0.429107813,0.252365931,0.287828947,0.323924109,0.333778371,0.423387097,0.633802817
signal transduction,27,35,9,16,7,3,16,8,0.48274629,0.567823344,0.657894737,0.323924109,0.200267023,0.322580645,0.563380282
protein heterodimerization activity,8,110,2,5,7,3,15,7,0.143035938,0.126182965,0.205592105,0.323924109,0.200267023,0.302419355,0.492957746
GTP binding,26,37,7,18,7,13,24,6,0.464866798,0.441640379,0.740131579,0.323924109,0.867823765,0.483870968,0.422535211
protein serine/threonine kinase activity,27,36,5,18,6,5,14,6,0.48274629,0.315457413,0.740131579,0.277649236,0.333778371,0.282258065,0.422535211
nucleosome,3,234,1,3,6,2,11,6,0.053638477,0.063091483,0.123355263,0.277649236,0.133511348,0.221774194,0.422535211
structural constituent of chromatin,3,235,1,3,6,2,11,6,0.053638477,0.063091483,0.123355263,0.277649236,0.133511348,0.221774194,0.422535211
Golgi membrane,10,95,5,0,6,5,12,5,0.178794922,0.315457413,0,0.277649236,0.333778371,0.241935484,0.352112676
RNA-DNA hybrid ribonuclease activity,10,98,3,5,6,3,3,1,0.178794922,0.189274448,0.205592105,0.277649236,0.200267023,0.060483871,0.070422535
methyltransferase activity,14,63,1,5,6,3,8,1,0.250312891,0.063091483,0.205592105,0.277649236,0.200267023,0.161290323,0.070422535
chromatin organization,4,202,4,4,6,1,6,0,0.071517969,0.252365931,0.164473684,0.277649236,0.066755674,0.120967742,0
extracellular region,22,42,9,10,5,10,30,30,0.393348829,0.567823344,0.411184211,0.231374364,0.667556742,0.60483871,2.112676056
endoplasmic reticulum,23,39,7,4,5,3,37,6,0.411228321,0.441640379,0.164473684,0.231374364,0.200267023,0.745967742,0.422535211
endoplasmic reticulum membrane,15,57,7,3,5,5,28,6,0.268192383,0.441640379,0.123355263,0.231374364,0.333778371,0.564516129,0.422535211
"transcription, DNA-templated",19,50,7,6,5,1,3,5,0.339710352,0.441640379,0.246710526,0.231374364,0.066755674,0.060483871,0.352112676
sequence-specific DNA binding,12,80,1,4,5,0,4,5,0.214553907,0.063091483,0.164473684,0.231374364,0,0.080645161,0.352112676
chromosome,9,105,2,2,5,4,12,4,0.16091543,0.126182965,0.082236842,0.231374364,0.267022697,0.241935484,0.281690141
G protein-coupled receptor signaling pathway,15,60,3,21,5,1,8,1,0.268192383,0.189274448,0.863486842,0.231374364,0.066755674,0.161290323,0.070422535
microtubule,8,116,4,2,5,1,8,1,0.143035938,0.252365931,0.082236842,0.231374364,0.066755674,0.161290323,0.070422535
RNA splicing,14,66,4,5,5,1,9,0,0.250312891,0.252365931,0.205592105,0.231374364,0.066755674,0.181451613,0
translational initiation,11,89,2,5,5,0,10,0,0.196674414,0.126182965,0.205592105,0.231374364,0,0.201612903,0
translation initiation factor activity,11,90,2,5,5,0,10,0,0.196674414,0.126182965,0.205592105,0.231374364,0,0.201612903,0
tRNA processing,3,265,3,4,5,5,5,0,0.053638477,0.189274448,0.164473684,0.231374364,0.333778371,0.100806452,0
protein ubiquitination,21,46,3,3,5,1,4,0,0.375469337,0.189274448,0.123355263,0.231374364,0.066755674,0.080645161,0
RNA-templated DNA biosynthetic process,5,171,0,3,5,3,2,0,0.089397461,0,0.123355263,0.231374364,0.200267023,0.040322581,0
RNA-directed DNA polymerase activity,5,172,0,3,5,3,2,0,0.089397461,0,0.123355263,0.231374364,0.200267023,0.040322581,0
Golgi cisterna membrane,2,358,2,1,5,2,7,0,0.035758984,0.126182965,0.041118421,0.231374364,0.133511348,0.141129032,0
fucosyltransferase activity,2,359,2,1,5,1,6,0,0.035758984,0.126182965,0.041118421,0.231374364,0.066755674,0.120967742,0
magnesium ion binding,13,77,3,0,5,1,4,0,0.232433399,0.189274448,0,0.231374364,0.066755674,0.080645161,0
manganese ion binding,0,1218,0,0,5,0,2,0,0,0,0,0.231374364,0,0.040322581,0
serine-type endopeptidase activity,4,182,1,1,4,6,23,32,0.071517969,0.063091483,0.041118421,0.185099491,0.400534045,0.463709677,2.253521127
oxidoreductase activity,29,31,10,9,4,5,34,14,0.518505274,0.630914826,0.370065789,0.185099491,0.333778371,0.685483871,0.985915493
metallopeptidase activity,9,104,3,5,4,0,15,7,0.16091543,0.189274448,0.205592105,0.185099491,0,0.302419355,0.492957746
mitochondrial inner membrane,8,111,3,3,4,7,22,6,0.143035938,0.189274448,0.123355263,0.185099491,0.46728972,0.443548387,0.422535211
protein dimerization activity,16,55,1,1,4,4,5,6,0.286071876,0.063091483,0.041118421,0.185099491,0.267022697,0.100806452,0.422535211
GTPase activity,21,44,5,16,4,9,16,4,0.375469337,0.315457413,0.657894737,0.185099491,0.600801068,0.322580645,0.281690141
ribonucleoprotein complex,19,51,3,5,4,22,83,4,0.339710352,0.189274448,0.205592105,0.185099491,1.468624833,1.673387097,0.281690141
ligase activity,13,70,3,4,4,4,11,3,0.232433399,0.189274448,0.164473684,0.185099491,0.267022697,0.221774194,0.211267606
structural constituent of ribosome,13,68,2,4,4,13,72,3,0.232433399,0.126182965,0.164473684,0.185099491,0.867823765,1.451612903,0.211267606
nucleolus,14,62,5,8,4,2,6,2,0.250312891,0.315457413,0.328947368,0.185099491,0.133511348,0.120967742,0.14084507
acyltransferase activity,8,115,5,3,4,5,14,1,0.143035938,0.315457413,0.123355263,0.185099491,0.333778371,0.282258065,0.070422535
actin binding,11,88,4,3,4,4,9,1,0.196674414,0.252365931,0.123355263,0.185099491,0.267022697,0.181451613,0.070422535
protein transport,32,23,7,2,4,5,27,1,0.572143751,0.441640379,0.082236842,0.185099491,0.333778371,0.544354839,0.070422535
guanyl-nucleotide exchange factor activity,21,45,3,2,4,2,2,1,0.375469337,0.189274448,0.082236842,0.185099491,0.133511348,0.040322581,0.070422535
polynucleotide adenylyltransferase activity,1,555,0,1,4,0,0,1,0.017879492,0,0.041118421,0.185099491,0,0,0.070422535
dynein complex,2,356,2,0,4,0,0,1,0.035758984,0.126182965,0,0.185099491,0,0,0.070422535
cytosol,6,150,1,0,4,1,5,1,0.107276953,0.063091483,0,0.185099491,0.066755674,0.100806452,0.070422535
G protein-coupled receptor activity,12,83,2,18,4,1,8,0,0.214553907,0.126182965,0.740131579,0.185099491,0.066755674,0.161290323,0
RNA processing,8,121,9,6,4,5,7,0,0.143035938,0.567823344,0.246710526,0.185099491,0.333778371,0.141129032,0
intracellular protein transport,11,92,7,4,4,0,8,0,0.196674414,0.441640379,0.164473684,0.185099491,0,0.161290323,0
histone modification,3,271,2,3,4,0,3,0,0.053638477,0.126182965,0.123355263,0.185099491,0,0.060483871,0
mediator complex,8,127,1,3,4,1,0,0,0.143035938,0.063091483,0.123355263,0.185099491,0.066755674,0,0
fucosylation,2,362,2,1,4,1,5,0,0.035758984,0.126182965,0.041118421,0.185099491,0.066755674,0.100806452,0
microtubule-based process,3,266,0,1,4,1,5,0,0.053638477,0,0.041118421,0.185099491,0.066755674,0.100806452,0
serine-type peptidase activity,3,233,1,1,3,2,10,11,0.053638477,0.063091483,0.041118421,0.138824618,0.133511348,0.201612903,0.774647887
anatomical structure development,2,332,2,0,3,1,22,10,0.035758984,0.126182965,0,0.138824618,0.066755674,0.443548387,0.704225352
ion transport,36,21,9,24,3,9,31,7,0.64366172,0.567823344,0.986842105,0.138824618,0.600801068,0.625,0.492957746
cysteine-type peptidase activity,10,94,2,6,3,1,11,7,0.178794922,0.126182965,0.246710526,0.138824618,0.066755674,0.221774194,0.492957746
serine-type endopeptidase inhibitor activity,7,130,1,2,3,0,8,6,0.125156446,0.063091483,0.082236842,0.138824618,0,0.161290323,0.422535211
heme binding,7,132,1,6,3,0,7,3,0.125156446,0.063091483,0.246710526,0.138824618,0,0.141129032,0.211267606
metalloendopeptidase activity,5,160,3,4,3,1,7,3,0.089397461,0.189274448,0.164473684,0.138824618,0.066755674,0.141129032,0.211267606
lysosome,1,526,1,0,3,1,0,3,0.017879492,0.063091483,0,0.138824618,0.066755674,0,0.211267606
ribosome,15,59,2,7,3,14,77,2,0.268192383,0.126182965,0.287828947,0.138824618,0.934579439,1.552419355,0.14084507
protein dephosphorylation,7,135,1,5,3,6,7,2,0.125156446,0.063091483,0.205592105,0.138824618,0.400534045,0.141129032,0.14084507
potassium ion transmembrane transport,14,64,2,7,3,3,5,1,0.250312891,0.126182965,0.287828947,0.138824618,0.200267023,0.100806452,0.070422535
helicase activity,10,97,5,5,3,2,9,1,0.178794922,0.315457413,0.205592105,0.138824618,0.133511348,0.181451613,0.070422535
isomerase activity,11,87,3,5,3,2,12,1,0.196674414,0.189274448,0.205592105,0.138824618,0.133511348,0.241935484,0.070422535
methylation,12,82,0,5,3,2,8,1,0.214553907,0,0.205592105,0.138824618,0.133511348,0.161290323,0.070422535
vesicle-mediated transport,16,56,8,4,3,5,13,1,0.286071876,0.504731861,0.164473684,0.138824618,0.333778371,0.262096774,0.070422535
cell differentiation,6,152,1,2,3,0,2,1,0.107276953,0.063091483,0.082236842,0.138824618,0,0.040322581,0.070422535
pseudouridine synthesis,2,348,1,2,3,0,2,1,0.035758984,0.063091483,0.082236842,0.138824618,0,0.040322581,0.070422535
aminopeptidase activity,0,1076,1,1,3,0,2,1,0,0.063091483,0.041118421,0.138824618,0,0.040322581,0.070422535
RNA 3'-end processing,1,556,0,1,3,0,0,1,0.017879492,0,0.041118421,0.138824618,0,0,0.070422535
RNA polyadenylation,1,557,0,1,3,0,0,1,0.017879492,0,0.041118421,0.138824618,0,0,0.070422535
potassium channel activity,11,93,2,7,3,2,4,0,0.196674414,0.126182965,0.287828947,0.138824618,0.133511348,0.080645161,0
cysteine-type deubiquitinase activity,7,143,2,6,3,0,1,0,0.125156446,0.126182965,0.246710526,0.138824618,0,0.02016129,0
"mRNA splicing, via spliceosome",13,75,6,5,3,1,9,0,0.232433399,0.378548896,0.205592105,0.138824618,0.066755674,0.181451613,0
protein folding,8,118,1,4,3,3,20,0,0.143035938,0.063091483,0.164473684,0.138824618,0.200267023,0.403225806,0
protein deubiquitination,4,217,2,3,3,0,1,0,0.071517969,0.126182965,0.123355263,0.138824618,0,0.02016129,0
metabolic process,10,100,6,2,3,3,6,0,0.178794922,0.378548896,0.082236842,0.138824618,0.200267023,0.120967742,0
gene silencing by RNA,0,1696,0,2,3,0,0,0,0,0,0.082236842,0.138824618,0,0,0
ubiquitin-protein transferase activity,10,102,5,1,3,2,3,0,0.178794922,0.315457413,0.041118421,0.138824618,0.133511348,0.060483871,0
"hydrolase activity, acting on glycosyl bonds",6,156,4,1,3,3,4,0,0.107276953,0.252365931,0.041118421,0.138824618,0.200267023,0.080645161,0
RNA phosphodiester bond hydrolysis,2,365,3,1,3,3,4,0,0.035758984,0.189274448,0.041118421,0.138824618,0.200267023,0.080645161,0
phosphoprotein phosphatase activity,6,155,2,1,3,3,5,0,0.107276953,0.126182965,0.041118421,0.138824618,0.200267023,0.100806452,0
calmodulin binding,5,170,2,1,3,0,3,0,0.089397461,0.126182965,0.041118421,0.138824618,0,0.060483871,0
metalloaminopeptidase activity,0,1300,1,1,3,0,1,0,0,0.063091483,0.041118421,0.138824618,0,0.02016129,0
lysosomal membrane,2,396,1,0,3,1,1,0,0.035758984,0.063091483,0,0.138824618,0.066755674,0.02016129,0
negative regulation of transcription by RNA polymerase II,4,221,0,0,3,0,0,0,0.071517969,0,0,0.138824618,0,0,0
protein-cysteine S-palmitoyltransferase activity,1,574,0,0,3,3,5,0,0.017879492,0,0,0.138824618,0.200267023,0.100806452,0
palmitoyltransferase activity,1,575,0,0,3,3,5,0,0.017879492,0,0,0.138824618,0.200267023,0.100806452,0
DNA metabolic process,6,145,2,2,2,2,3,5,0.107276953,0.126182965,0.082236842,0.092549745,0.133511348,0.060483871,0.352112676
pyridoxal phosphate binding,5,159,2,1,2,4,8,5,0.089397461,0.126182965,0.041118421,0.092549745,0.267022697,0.161290323,0.352112676
phosphatase activity,13,67,2,5,2,4,9,4,0.232433399,0.126182965,0.205592105,0.092549745,0.267022697,0.181451613,0.281690141
cellular amino acid metabolic process,0,1034,0,0,2,2,7,4,0,0,0,0.092549745,0.133511348,0.141129032,0.281690141
DNA repair,15,58,4,6,2,5,16,3,0.268192383,0.252365931,0.246710526,0.092549745,0.333778371,0.322580645,0.211267606
protein tyrosine phosphatase activity,6,148,1,5,2,2,4,2,0.107276953,0.063091483,0.205592105,0.092549745,0.133511348,0.080645161,0.14084507
chitin binding,13,71,5,4,2,0,2,2,0.232433399,0.315457413,0.164473684,0.092549745,0,0.040322581,0.14084507
oxygen binding,3,242,1,4,2,0,1,2,0.053638477,0.063091483,0.164473684,0.092549745,0,0.02016129,0.14084507
oxygen transport,2,337,0,3,2,0,1,2,0.035758984,0,0.123355263,0.092549745,0,0.02016129,0.14084507
oxygen carrier activity,2,338,0,3,2,0,1,2,0.035758984,0,0.123355263,0.092549745,0,0.02016129,0.14084507
protein serine/threonine phosphatase activity,7,136,4,1,2,4,6,2,0.125156446,0.252365931,0.041118421,0.092549745,0.267022697,0.120967742,0.14084507
microtubule binding,4,183,4,1,2,0,3,2,0.071517969,0.252365931,0.041118421,0.092549745,0,0.060483871,0.14084507
endonuclease activity,0,1042,2,1,2,1,8,2,0,0.126182965,0.041118421,0.092549745,0.066755674,0.161290323,0.14084507
microtubule cytoskeleton organization,0,1045,3,0,2,0,3,2,0,0.189274448,0,0.092549745,0,0.060483871,0.14084507
cellular response to DNA damage stimulus,13,72,3,5,2,2,10,1,0.232433399,0.189274448,0.205592105,0.092549745,0.133511348,0.201612903,0.070422535
cell adhesion,6,149,1,3,2,1,9,1,0.107276953,0.063091483,0.123355263,0.092549745,0.066755674,0.181451613,0.070422535
ribosome biogenesis,8,117,2,1,2,1,3,1,0.143035938,0.126182965,0.041118421,0.092549745,0.066755674,0.060483871,0.070422535
multicellular organism development,3,247,1,1,2,1,3,1,0.053638477,0.063091483,0.041118421,0.092549745,0.066755674,0.060483871,0.070422535
carbohydrate binding,3,246,1,0,2,2,3,1,0.053638477,0.063091483,0,0.092549745,0.133511348,0.060483871,0.070422535
growth factor activity,0,1067,0,0,2,1,4,1,0,0,0,0.092549745,0.066755674,0.080645161,0.070422535
"retrograde transport, endosome to Golgi",0,1111,0,0,2,1,0,1,0,0,0,0.092549745,0.066755674,0,0.070422535
macromolecule localization,0,1117,0,0,2,0,0,1,0,0,0,0.092549745,0,0,0.070422535
proteasome complex,4,200,1,7,2,3,15,0,0.071517969,0.063091483,0.287828947,0.092549745,0.200267023,0.302419355,0
aminoacyl-tRNA ligase activity,5,169,0,5,2,2,13,0,0.089397461,0,0.205592105,0.092549745,0.133511348,0.262096774,0
intracellular signal transduction,12,84,3,4,2,1,2,0,0.214553907,0.189274448,0.164473684,0.092549745,0.066755674,0.040322581,0
"acyltransferase activity, transferring groups other than amino-acyl groups",6,154,3,4,2,2,6,0,0.107276953,0.189274448,0.164473684,0.092549745,0.133511348,0.120967742,0
RNA helicase activity,5,173,3,4,2,1,2,0,0.089397461,0.189274448,0.164473684,0.092549745,0.066755674,0.040322581,0
unfolded protein binding,6,153,1,4,2,2,13,0,0.107276953,0.063091483,0.164473684,0.092549745,0.133511348,0.262096774,0
calcium ion transport,3,272,1,4,2,0,3,0,0.053638477,0.063091483,0.164473684,0.092549745,0,0.060483871,0
tRNA aminoacylation for protein translation,3,263,0,4,2,2,8,0,0.053638477,0,0.164473684,0.092549745,0.133511348,0.161290323,0
spliceosomal complex,14,65,3,3,2,2,11,0,0.250312891,0.189274448,0.123355263,0.092549745,0.133511348,0.221774194,0
ATP-dependent protein folding chaperone,1,571,0,3,2,0,10,0,0.017879492,0,0.123355263,0.092549745,0,0.201612903,0
Wnt signaling pathway,2,375,3,2,2,1,3,0,0.035758984,0.189274448,0.082236842,0.092549745,0.066755674,0.060483871,0
tRNA modification,2,374,2,2,2,1,3,0,0.035758984,0.126182965,0.082236842,0.092549745,0.066755674,0.060483871,0
synapse,8,125,1,2,2,0,2,0,0.143035938,0.063091483,0.082236842,0.092549745,0,0.040322581,0
CCR4-NOT complex,2,431,1,2,2,0,0,0,0.035758984,0.063091483,0.082236842,0.092549745,0,0,0
RNA modification,0,1219,1,2,2,0,2,0,0,0.063091483,0.082236842,0.092549745,0,0.040322581,0
pseudouridine synthase activity,0,1220,1,2,2,0,2,0,0,0.063091483,0.082236842,0.092549745,0,0.040322581,0
"negative regulation of transcription, DNA-templated",4,213,0,2,2,1,1,0,0.071517969,0,0.082236842,0.092549745,0.066755674,0.02016129,0
"transcription, RNA-templated",3,267,0,2,2,0,5,0,0.053638477,0,0.082236842,0.092549745,0,0.100806452,0
RNA-directed 5'-3' RNA polymerase activity,3,268,0,2,2,0,5,0,0.053638477,0,0.082236842,0.092549745,0,0.100806452,0
chromatin remodeling,13,78,2,1,2,1,4,0,0.232433399,0.126182965,0.041118421,0.092549745,0.066755674,0.080645161,0
nuclear pore,4,218,2,1,2,0,1,0,0.071517969,0.126182965,0.041118421,0.092549745,0,0.02016129,0
lipid transport,2,373,2,1,2,2,3,0,0.035758984,0.126182965,0.041118421,0.092549745,0.133511348,0.060483871,0
ribonuclease III activity,2,376,2,1,2,1,3,0,0.035758984,0.126182965,0.041118421,0.092549745,0.066755674,0.060483871,0
transcription coregulator activity,8,128,1,1,2,1,0,0,0.143035938,0.063091483,0.041118421,0.092549745,0.066755674,0,0
respirasome,7,142,1,1,2,2,8,0,0.125156446,0.063091483,0.041118421,0.092549745,0.133511348,0.161290323,0
"hydrolase activity, hydrolyzing O-glycosyl compounds",2,386,1,1,2,2,2,0,0.035758984,0.063091483,0.041118421,0.092549745,0.133511348,0.040322581,0
nucleocytoplasmic transport,2,379,1,1,2,0,3,0,0.035758984,0.063091483,0.041118421,0.092549745,0,0.060483871,0
mRNA 3'-end processing,2,432,1,1,2,0,0,0,0.035758984,0.063091483,0.041118421,0.092549745,0,0,0
eukaryotic translation initiation factor 3 complex,0,1197,1,1,2,0,3,0,0,0.063091483,0.041118421,0.092549745,0,0.060483871,0
cytoplasmic translational initiation,0,1221,1,1,2,0,2,0,0,0.063091483,0.041118421,0.092549745,0,0.040322581,0
formation of cytoplasmic translation initiation complex,0,1222,1,1,2,0,2,0,0,0.063091483,0.041118421,0.092549745,0,0.040322581,0
eukaryotic 48S preinitiation complex,0,1223,1,1,2,0,2,0,0,0.063091483,0.041118421,0.092549745,0,0.040322581,0
eukaryotic 43S preinitiation complex,0,1224,1,1,2,0,2,0,0,0.063091483,0.041118421,0.092549745,0,0.040322581,0
signaling receptor binding,2,397,0,1,2,1,1,0,0.035758984,0,0.041118421,0.092549745,0.066755674,0.02016129,0
generation of neurons,2,398,0,1,2,1,1,0,0.035758984,0,0.041118421,0.092549745,0.066755674,0.02016129,0
ubiquitin ligase complex,2,402,0,1,2,0,1,0,0.035758984,0,0.041118421,0.092549745,0,0.02016129,0
histone deacetylation,1,581,0,1,2,1,3,0,0.017879492,0,0.041118421,0.092549745,0.066755674,0.060483871,0
histone deacetylase activity,1,582,0,1,2,1,3,0,0.017879492,0,0.041118421,0.092549745,0.066755674,0.060483871,0
histone deacetylase complex,1,626,0,1,2,1,1,0,0.017879492,0,0.041118421,0.092549745,0.066755674,0.02016129,0
histone H2A monoubiquitination,1,704,0,1,2,0,0,0,0.017879492,0,0.041118421,0.092549745,0,0,0
ubiquitin protein ligase activity,9,108,6,0,2,1,4,0,0.16091543,0.378548896,0,0.092549745,0.066755674,0.080645161,0
organic substance metabolic process,7,144,2,0,2,0,0,0,0.125156446,0.126182965,0,0.092549745,0,0,0
DNA replication,7,141,1,0,2,3,9,0,0.125156446,0.063091483,0,0.092549745,0.200267023,0.181451613,0
macromolecule metabolic process,2,403,1,0,2,0,1,0,0.035758984,0.063091483,0,0.092549745,0,0.02016129,0
NAD+ binding,2,404,1,0,2,0,1,0,0.035758984,0.063091483,0,0.092549745,0,0.02016129,0
tRNA pseudouridine synthase activity,0,1305,1,0,2,0,1,0,0,0.063091483,0,0.092549745,0,0.02016129,0
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",0,1706,1,0,2,0,0,0,0,0.063091483,0,0.092549745,0,0,0
membrane coat,5,174,0,0,2,0,2,0,0.089397461,0,0,0.092549745,0,0.040322581,0
structural molecule activity,2,367,0,0,2,1,4,0,0.035758984,0,0,0.092549745,0.066755674,0.080645161,0
microtubule organizing center,2,380,0,0,2,0,3,0,0.035758984,0,0,0.092549745,0,0.060483871,0
protein metabolic process,1,601,0,0,2,0,2,0,0.017879492,0,0,0.092549745,0,0.040322581,0
nucleoside transmembrane transporter activity,1,629,0,0,2,0,1,0,0.017879492,0,0,0.092549745,0,0.02016129,0
nucleoside transmembrane transport,1,630,0,0,2,0,1,0,0.017879492,0,0,0.092549745,0,0.02016129,0
protein methylation,1,705,0,0,2,0,0,0,0.017879492,0,0,0.092549745,0,0,0
glycogen metabolic process,1,706,0,0,2,0,0,0,0.017879492,0,0,0.092549745,0,0,0
mitochondrial translation,0,1194,0,0,2,2,3,0,0,0,0,0.092549745,0.133511348,0.060483871,0
sodium ion transmembrane transport,0,1178,0,0,2,0,4,0,0,0,0,0.092549745,0,0.080645161,0
organic substance transport,0,1301,0,0,2,0,1,0,0,0,0,0.092549745,0,0.02016129,0
nitrogen compound transport,0,1302,0,0,2,0,1,0,0,0,0,0.092549745,0,0.02016129,0
mitochondrial pyruvate transmembrane transport,0,1303,0,0,2,0,1,0,0,0,0,0.092549745,0,0.02016129,0
microtubule associated complex,0,1304,0,0,2,0,1,0,0,0,0,0.092549745,0,0.02016129,0
